Layer,Step 3 point,NEVTs,Hits
U,1,20000,LEF-3-4,LEF-3-5
U,2,20000,LEF-3-3,LEF-3-4
U,3,20000,LEF-3-2,LEF-3-3
U,4,20000,LEF-3-1,LEF-3-2
U,5,20000,LEF-1-1,LEF-3-1
U,6,20000,LEF-1-1,LEF-1-2
U,7,20000,LEF-1-2,LEF-1-3
U,8,20000,LEF-1-3,LEF-1-4
U,9,20000,LEF-1-4,LEF-1-5
U,10,20000,LEF-1-4,LEF-1-5
U,11,20000,LEF-1-3,LEF-1-4
U,12,20000,LEF-1-2,LEF-1-3
U,13,20000,LEF-1-1,LEF-1-2
U,14,20000,LEF-1-1,LEF-3-1
U,15,20000,LEF-3-1,LEF-3-2
U,16,20000,LEF-3-2,LEF-3-3
U,17,20000,LEF-3-3,LEF-3-4
U,18,20000,LEF-3-4,LEF-3-5
U,19,20000,LEF-3-6,LEF-3-7
U,20,20000,LEF-3-5,LEF-3-6
U,21,20000,LEF-3-4,LEF-3-5
U,22,20000,LEF-3-3,LEF-3-4
U,23,20000,LEF-3-2,LEF-3-3
U,24,20000,LEF-3-1,LEF-3-2
U,25,20000,LEF-1-1,LEF-3-1
U,26,20000,LEF-1-1,LEF-1-2
U,27,20000,LEF-1-2,LEF-1-3
U,28,20000,LEF-1-3,LEF-1-4
U,29,20000,LEF-1-4,LEF-1-5
U,30,20000,LEF-1-5,LEF-1-6
U,31,20000,LEF-1-6,LEF-1-7
U,32,20000,LEF-1-6,LEF-1-7
U,33,20000,LEF-1-5,LEF-1-6
U,34,20000,LEF-1-4,LEF-1-5
U,35,20000,LEF-1-3,LEF-1-4
U,36,20000,LEF-1-2,LEF-1-3
U,37,20000,LEF-1-1,LEF-1-2
U,38,20000,LEF-1-1,LEF-3-1
U,39,20000,LEF-3-1,LEF-3-2
U,40,20000,LEF-3-2,LEF-3-3
U,41,20000,LEF-3-3,LEF-3-4
U,42,20000,LEF-3-4,LEF-3-5
U,43,20000,LEF-3-5,LEF-3-6
U,44,20000,LEF-3-6,LEF-3-7
U,45,20000,LEF-3-8,LEF-3-9
U,46,20000,LEF-3-7,LEF-3-8
U,47,20000,LEF-3-6,LEF-3-7
U,48,20000,LEF-3-5,LEF-3-6
U,49,20000,LEF-3-4,LEF-3-5
U,50,20000,LEF-3-3,LEF-3-4
U,51,20000,LEF-3-2,LEF-3-3
U,52,20000,LEF-3-1,LEF-3-2
U,53,20000,LEF-1-1,LEF-3-1
U,54,20000,LEF-1-1,LEF-1-2
U,55,20000,LEF-1-2,LEF-1-3
U,56,20000,LEF-1-3,LEF-1-4
U,57,20000,LEF-1-4,LEF-1-5
U,58,20000,LEF-1-5,LEF-1-6
U,59,20000,LEF-1-6,LEF-1-7
U,60,20000,LEF-1-7,LEF-1-8
U,61,20000,LEF-1-8,LEF-1-9
U,62,20000,LEF-1-8,LEF-1-9
U,63,20000,LEF-1-7,LEF-1-8
U,64,20000,LEF-1-6,LEF-1-7
U,65,20000,LEF-1-5,LEF-1-6
U,66,20000,LEF-1-4,LEF-1-5
U,67,20000,LEF-1-3,LEF-1-4
U,68,20000,LEF-1-2,LEF-1-3
U,69,20000,LEF-1-1,LEF-1-2
U,70,20000,LEF-1-1,LEF-3-1
U,71,20000,LEF-3-1,LEF-3-2
U,72,20000,LEF-3-2,LEF-3-3
U,73,20000,LEF-3-3,LEF-3-4
U,74,20000,LEF-3-4,LEF-3-5
U,75,20000,LEF-3-5,LEF-3-6
U,76,20000,LEF-3-6,LEF-3-7
U,77,20000,LEF-3-7,LEF-3-8
U,78,20000,LEF-3-8,LEF-3-9
U,79,20000,LEF-3-8,LEF-3-9
U,80,20000,LEF-3-7,LEF-3-8
U,81,20000,LEF-3-6,LEF-3-7
U,82,20000,LEF-3-5,LEF-3-6
U,83,20000,LEF-3-4,LEF-3-5
U,84,20000,LEF-3-3,LEF-3-4
U,85,20000,LEF-3-2,LEF-3-3
U,86,20000,LEF-3-1,LEF-3-2
U,87,20000,LEF-1-1,LEF-3-1
U,88,20000,LEF-1-1,LEF-1-2
U,89,20000,LEF-1-2,LEF-1-3
U,90,20000,LEF-1-3,LEF-1-4
U,91,20000,LEF-1-4,LEF-1-5
U,92,20000,LEF-1-5,LEF-1-6
U,93,20000,LEF-1-6,LEF-1-7
U,94,20000,LEF-1-7,LEF-1-8
U,95,20000,LEF-1-8,LEF-1-9
U,96,20000,LEF-1-8,LEF-1-9
U,97,20000,LEF-1-7,LEF-1-8
U,98,20000,LEF-1-6,LEF-1-7
U,99,20000,LEF-1-5,LEF-1-6
U,100,20000,LEF-1-4,LEF-1-5
U,101,20000,LEF-1-3,LEF-1-4
