Layer,Step 4 point,Hits,NEVTs
U,1,LEF-3-6, LEF-3-7,180000
U,2,LEF-3-4, LEF-3-5,180000
U,3,LEF-1-1, LEF-3-1,180000
U,4,LEF-1-4, LEF-1-5,180000
U,5,LEF-1-6, LEF-1-7,180000
U,6,LEF-1-8, LEF-1-9,180000
U,7,LEF-1-4, LEF-1-5,180000
U,8,LEF-1-1, LEF-3-1,180000
U,9,LEF-3-4, LEF-3-5,180000
U,10,LEF-3-8, LEF-3-9,180000
U,11,LEF-3-8, LEF-3-9, LEF-5-8, LEF-5-9,180000
U,12,LEF-3-5, LEF-3-6, LEF-5-5, LEF-5-6,180000
U,13,LEF-3-2, LEF-3-3, LEF-5-2, LEF-5-3,180000
U,14,LEF-1-1, LEF-3-1,180000
U,15,LEF-5-1, LEF-7-1,180000
U,16,LEF-1-2, LEF-1-3, LEF-7-2, LEF-7-3,180000
U,17,LEF-1-5, LEF-1-6, LEF-7-5, LEF-7-6,180000
U,18,LEF-1-8, LEF-1-9, LEF-7-8, LEF-7-9,180000
U,19,LEF-7-8, LEF-7-9,180000
U,20,LEF-7-4, LEF-7-5,180000
U,21,LEF-5-1, LEF-7-1,180000
U,22,LEF-5-4, LEF-5-5,180000
U,23,LEF-5-8, LEF-5-9,180000
U,24,LEF-5-6, LEF-5-7,180000
U,25,LEF-5-4, LEF-5-5,180000
U,26,LEF-5-1, LEF-7-1,180000
U,27,LEF-7-4, LEF-7-5,180000
U,28,LEF-7-6, LEF-7-7,180000
