Layer,qname,Si detector,LEF,Die BL x,Die BL y,Die BR x,Die BR y,Die TR x,Die TR y,Die TL x,Die TL y,Active BL x,Active BL y,Active BR x,Active BR y,Active TR x,Active TR y,Active TL x,Active TL y
U,QL-L3,L12-30-11,LEF-1-1,-60.245497757093844,60.10407640085655,-140.14856403117372,-19.798989873223313,-83.58002153624992,-76.36753236814712,-3.6769552621700425,3.5355339059327346,-60.3343280464804,59.195002245293594,-139.2394898756108,-19.710159583836756,-83.49119124686338,-75.45845821258418,-4.5860294177329965,3.4467036165461735
U,QL-L3,L12-30-10,LEF-1-1,-116.92010626919563,116.77868491295834,-196.82317254327552,36.87561863887848,-140.25463004835171,-19.692923856045333,-60.35156377427183,60.21014241803453,-117.00893655858218,115.86961075739538,-195.91409838771256,36.96444892826503,-140.16579975896514,-18.783849700482385,-61.26063792983477,60.121312128647965
U,QL-L3,L12-30-9,LEF-1-1,-173.5947147812974,173.45329342506017,-253.4977810553773,93.55022715098029,-196.92923856045348,36.98168465605647,-117.02617228637361,116.88475093013633,-173.68354507068395,172.54421926949718,-252.58870689981433,93.63905744036683,-196.84040827106693,37.890758811619406,-117.93524644193656,116.79592064074976
U,QL-L3,L12-30-8,LEF-1-1,-230.26932329339917,230.12790193716197,-310.17238956747906,150.2248356630821,-253.60384707255528,93.65629316815829,-173.7007807984754,173.55935944223816,-230.35815358278577,229.218827781599,-309.26331541191615,150.31366595246865,-253.51501678316873,94.56536732372123,-174.60985495403835,173.47052915285158
U,QL-L3,L12-30-7,LEF-1-1,-286.943931805501,286.80251044926376,-366.8469980795809,206.89944417518387,-310.2784555846571,150.33090168026007,-230.3753893105772,230.23396795433996,-287.0327620948876,285.8934362937008,-365.9379239240179,206.98827446457045,-310.18962529527056,151.2399758358231,-231.28446346614018,230.14513766495344
U,QL-L3,L12-30-6,LEF-1-1,-343.61854031760276,343.4771189613656,-423.52160659168266,263.5740526872857,-366.95306409675885,207.00551019236184,-287.04999782267896,286.90857646644173,-343.70737060698934,342.56804480580263,-422.61253243611975,263.6628829766723,-366.86423380737233,207.91458434792486,-287.9590719782419,286.8197461770552
U,QL-L3,L12-30-5,LEF-1-1,-400.29314882970453,400.15172747346736,-480.1962151037844,320.24866119938747,-423.6276726088606,263.68011870446367,-343.72460633478073,343.58318497854356,-400.38197911909106,399.24265331790434,-479.28714094822146,320.337491488774,-423.53884231947404,264.58919286002657,-344.63368049034364,343.4943546891569
U,QL-L3,L12-30-4,LEF-1-1,-456.96775734180636,456.8263359855692,-536.8708236158863,376.9232697114893,-480.30228112096245,320.3547272165655,-400.39921484688256,400.2577934906454,-457.0565876311929,455.9172618300062,-535.9617494603233,377.0121000008759,-480.21345083157587,321.2638013721284,-401.30828900244546,400.16896320125875
U,QL-L3,L12-30-3,LEF-1-1,-513.6423658539081,513.500944497671,-593.5454321279881,433.59787822359107,-536.9768896330643,377.02933572866726,-457.0738233589843,456.93240200274715,-513.7311961432946,512.591870342108,-592.636357972425,433.6867085129776,-536.8880593436776,377.9384098842302,-457.98289751454723,456.8435717133606
U,QL-L3,L12-30-2,LEF-1-1,-570.3169743660098,570.1755530097728,-650.2200406400898,490.2724867356929,-593.651498145166,433.7039442407691,-513.748431871086,513.607010514849,-570.4058046553963,569.2664788542098,-649.3109664845267,490.3613170250794,-593.5626678557793,434.613018396332,-514.6575060266489,513.5181802254624
