Layer,Step 0 point,NEVTs,Hits
Y,1,100000,LEF-2-8,LEF-2-9
Y,2,100000,LEF-2-7,LEF-2-8
Y,3,100000,LEF-2-6,LEF-2-7
Y,4,100000,LEF-2-5,LEF-2-6
Y,5,100000,LEF-2-4,LEF-2-5
Y,6,100000,LEF-2-3,LEF-2-4
Y,7,100000,LEF-2-2,LEF-2-3
Y,8,100000,LEF-2-1,LEF-2-2
Y,9,100000,LEF-2-1,LEF-4-1
Y,10,100000,LEF-4-1,LEF-4-2
Y,11,100000,LEF-4-2,LEF-4-3
Y,12,100000,LEF-4-3,LEF-4-4
Y,13,100000,LEF-4-4,LEF-4-5
Y,14,100000,LEF-4-5,LEF-4-6
Y,15,100000,LEF-4-6,LEF-4-7
Y,16,100000,LEF-4-7,LEF-4-8
Y,17,100000,LEF-4-8,LEF-4-9
Y,18,100000,LEF-6-8,LEF-6-9
Y,19,100000,LEF-6-7,LEF-6-8
Y,20,100000,LEF-6-6,LEF-6-7
Y,21,100000,LEF-6-5,LEF-6-6
Y,22,100000,LEF-6-4,LEF-6-5
Y,23,100000,LEF-6-3,LEF-6-4
Y,24,100000,LEF-6-2,LEF-6-3
Y,25,100000,LEF-6-1,LEF-6-2
Y,26,100000,LEF-6-1,LEF-8-1
Y,27,100000,LEF-8-1,LEF-8-2
Y,28,100000,LEF-8-2,LEF-8-3
Y,29,100000,LEF-8-3,LEF-8-4
Y,30,100000,LEF-8-4,LEF-8-5
Y,31,100000,LEF-8-5,LEF-8-6
Y,32,100000,LEF-8-6,LEF-8-7
Y,33,100000,LEF-8-7,LEF-8-8
Y,34,100000,LEF-8-8,LEF-8-9
