Layer,Step 1 point,Hits,NEVTs
Y,1,LEF-2-4, LEF-2-5,20000
Y,2,LEF-2-3, LEF-2-4,20000
Y,3,LEF-2-2, LEF-2-3,20000
Y,4,LEF-2-1, LEF-2-2,20000
Y,5,LEF-2-1, LEF-4-1,20000
Y,6,LEF-4-1, LEF-4-2,20000
Y,7,LEF-4-2, LEF-4-3,20000
Y,8,LEF-4-3, LEF-4-4,20000
Y,9,LEF-4-4, LEF-4-5,20000
Y,10,LEF-4-4, LEF-4-5,20000
Y,11,LEF-4-3, LEF-4-4,20000
Y,12,LEF-4-2, LEF-4-3,20000
Y,13,LEF-4-1, LEF-4-2,20000
Y,14,LEF-2-1, LEF-4-1,20000
Y,15,LEF-2-1, LEF-2-2,20000
Y,16,LEF-2-2, LEF-2-3,20000
Y,17,LEF-2-3, LEF-2-4,20000
Y,18,LEF-2-4, LEF-2-5,20000
Y,19,LEF-2-6, LEF-2-7,20000
Y,20,LEF-2-5, LEF-2-6,20000
Y,21,LEF-2-4, LEF-2-5,20000
Y,22,LEF-2-3, LEF-2-4,20000
Y,23,LEF-2-2, LEF-2-3,20000
Y,24,LEF-2-1, LEF-2-2,20000
Y,25,LEF-2-1, LEF-4-1,20000
Y,26,LEF-4-1, LEF-4-2,20000
Y,27,LEF-4-2, LEF-4-3,20000
Y,28,LEF-4-3, LEF-4-4,20000
Y,29,LEF-4-4, LEF-4-5,20000
Y,30,LEF-4-5, LEF-4-6,20000
Y,31,LEF-4-6, LEF-4-7,20000
Y,32,LEF-4-6, LEF-4-7,20000
Y,33,LEF-4-5, LEF-4-6,20000
Y,34,LEF-4-4, LEF-4-5,20000
Y,35,LEF-4-3, LEF-4-4,20000
Y,36,LEF-4-2, LEF-4-3,20000
Y,37,LEF-4-1, LEF-4-2,20000
Y,38,LEF-2-1, LEF-4-1,20000
Y,39,LEF-2-1, LEF-2-2,20000
Y,40,LEF-2-2, LEF-2-3,20000
Y,41,LEF-2-3, LEF-2-4,20000
Y,42,LEF-2-4, LEF-2-5,20000
Y,43,LEF-2-5, LEF-2-6,20000
Y,44,LEF-2-6, LEF-2-7,20000
Y,45,LEF-2-8, LEF-2-9,20000
Y,46,LEF-2-7, LEF-2-8,20000
Y,47,LEF-2-6, LEF-2-7,20000
Y,48,LEF-2-5, LEF-2-6,20000
Y,49,LEF-2-4, LEF-2-5,20000
Y,50,LEF-2-3, LEF-2-4,20000
Y,51,LEF-2-2, LEF-2-3,20000
Y,52,LEF-2-1, LEF-2-2,20000
Y,53,LEF-2-1, LEF-4-1,20000
Y,54,LEF-4-1, LEF-4-2,20000
Y,55,LEF-4-2, LEF-4-3,20000
Y,56,LEF-4-3, LEF-4-4,20000
Y,57,LEF-4-4, LEF-4-5,20000
Y,58,LEF-4-5, LEF-4-6,20000
Y,59,LEF-4-6, LEF-4-7,20000
Y,60,LEF-4-7, LEF-4-8,20000
Y,61,LEF-4-8, LEF-4-9,20000
Y,62,LEF-4-8, LEF-4-9,20000
Y,63,LEF-4-7, LEF-4-8,20000
Y,64,LEF-4-6, LEF-4-7,20000
Y,65,LEF-4-5, LEF-4-6,20000
Y,66,LEF-4-4, LEF-4-5,20000
Y,67,LEF-4-3, LEF-4-4,20000
Y,68,LEF-4-2, LEF-4-3,20000
Y,69,LEF-4-1, LEF-4-2,20000
Y,70,LEF-2-1, LEF-4-1,20000
