Layer,Step 2 point,NEVTs,Hits
Y,1,180000,LEF-2-6,LEF-2-7
Y,2,180000,LEF-2-4,LEF-2-5
Y,3,180000,LEF-2-1,LEF-4-1
Y,4,180000,LEF-4-4,LEF-4-5
Y,5,180000,LEF-4-6,LEF-4-7
Y,6,180000,LEF-4-8,LEF-4-9
Y,7,180000,LEF-4-4,LEF-4-5
Y,8,180000,LEF-2-1,LEF-4-1
Y,9,180000,LEF-2-4,LEF-2-5
Y,10,180000,LEF-2-8,LEF-2-9
Y,11,180000,LEF-2-8,LEF-2-9,LEF-8-8,LEF-8-9
Y,12,180000,LEF-2-5,LEF-2-6,LEF-8-5,LEF-8-6
Y,13,180000,LEF-2-2,LEF-2-3,LEF-8-2,LEF-8-3
Y,14,180000,LEF-2-1,LEF-4-1
Y,15,180000,LEF-6-1,LEF-8-1
Y,16,180000,LEF-4-2,LEF-4-3,LEF-6-2,LEF-6-3
Y,17,180000,LEF-4-5,LEF-4-6,LEF-6-5,LEF-6-6
Y,18,180000,LEF-4-8,LEF-4-9,LEF-6-8,LEF-6-9
Y,19,180000,LEF-6-8,LEF-6-9
Y,20,180000,LEF-6-4,LEF-6-5
Y,21,180000,LEF-6-1,LEF-8-1
Y,22,180000,LEF-8-4,LEF-8-5
Y,23,180000,LEF-8-8,LEF-8-9
Y,24,180000,LEF-8-6,LEF-8-7
Y,25,180000,LEF-8-4,LEF-8-5
Y,26,180000,LEF-6-1,LEF-8-1
Y,27,180000,LEF-6-4,LEF-6-5
Y,28,180000,LEF-6-6,LEF-6-7
