Layer,qname,Si detector,LEF,Die BL x,Die BL y,Die BR x,Die BR y,Die TR x,Die TR y,Die TL x,Die TL y,Active BL x,Active BL y,Active BR x,Active BR y,Active TR x,Active TR y,Active TL x,Active TL y
Y,QL-R3,L12-16-11,LEF-2-1,-0.09999999999998958,85.1,-113.09999999999998,85.10000000000001,-113.1,5.1000000000000085,-0.09999999999999938,5.099999999999994,-0.8056249999999896,84.52,-112.394375,84.52000000000001,-112.39437500000001,5.680000000000006,-0.8056249999999993,5.679999999999993
Y,QL-R3,L12-16-10,LEF-2-1,-0.09999999999997977,165.25,-113.09999999999998,165.25,-113.09999999999998,85.25000000000001,-0.09999999999998957,85.25,-0.8056249999999797,164.67,-112.394375,164.67,-112.394375,85.83,-0.8056249999999894,85.82999999999998
Y,QL-R3,L12-16-9,LEF-2-1,-0.09999999999996995,245.4,-113.09999999999997,245.4,-113.09999999999998,165.4,-0.09999999999997974,165.4,-0.80562499999997,244.82,-112.39437499999998,244.82,-112.394375,165.98,-0.8056249999999796,165.98
Y,QL-R3,L12-16-8,LEF-2-1,-0.09999999999996013,325.55,-113.09999999999995,325.55,-113.09999999999997,245.55,-0.09999999999996993,245.55,-0.8056249999999602,324.97,-112.39437499999997,324.97,-112.39437499999998,246.13000000000002,-0.8056249999999698,246.13000000000002
Y,QL-R3,L12-16-7,LEF-2-1,-0.09999999999995032,405.70000000000005,-113.09999999999995,405.70000000000005,-113.09999999999995,325.70000000000005,-0.09999999999996012,325.70000000000005,-0.8056249999999503,405.12000000000006,-112.39437499999997,405.12000000000006,-112.39437499999997,326.2800000000001,-0.80562499999996,326.2800000000001
Y,QL-R3,L12-16-6,LEF-2-1,-0.09999999999994051,485.85,-113.09999999999994,485.85,-113.09999999999995,405.85,-0.09999999999995031,405.85,-0.8056249999999405,485.27000000000004,-112.39437499999995,485.27000000000004,-112.39437499999995,406.43000000000006,-0.8056249999999502,406.43000000000006
Y,QL-R3,L12-16-5,LEF-2-1,-0.09999999999993069,566.0,-113.09999999999992,566.0,-113.09999999999994,486.0,-0.09999999999994048,486.0,-0.8056249999999306,565.42,-112.39437499999994,565.42,-112.39437499999995,486.5799999999999,-0.8056249999999403,486.5799999999999
Y,QL-R3,L12-16-4,LEF-2-1,-0.09999999999992087,646.1500000000001,-113.09999999999991,646.1500000000001,-113.09999999999992,566.1500000000001,-0.09999999999993067,566.1500000000001,-0.8056249999999209,645.57,-112.39437499999993,645.57,-112.39437499999994,566.73,-0.8056249999999305,566.73
Y,QL-R3,L12-16-3,LEF-2-1,-0.09999999999991106,726.3000000000001,-113.09999999999991,726.3000000000001,-113.09999999999991,646.3000000000001,-0.09999999999992086,646.3000000000001,-0.805624999999911,725.72,-112.39437499999993,725.72,-112.39437499999993,646.88,-0.8056249999999207,646.88
Y,QL-R3,L12-16-2,LEF-2-1,-0.09999999999990124,806.45,-113.0999999999999,806.45,-113.09999999999991,726.45,-0.09999999999991104,726.45,-0.8056249999999012,805.87,-112.39437499999991,805.87,-112.39437499999993,727.03,-0.8056249999999109,727.03
Y,QL-R3,L12-16-1,LEF-2-1,-0.09999999999989143,886.6,-113.09999999999988,886.6,-113.0999999999999,806.6,-0.09999999999990122,806.6,-0.8056249999998915,886.02,-112.3943749999999,886.02,-112.39437499999991,807.18,-0.8056249999999011,807.18
Y,QL-R3,L12-16-0,LEF-2-1,-0.09999999999988161,966.7500000000001,-113.09999999999988,966.7500000000001,-113.09999999999988,886.7500000000001,-0.09999999999989141,886.7500000000001,-0.8056249999998816,966.1700000000001,-112.3943749999999,966.1700000000001,-112.3943749999999,887.33,-0.8056249999998912,887.33
Y,QL-R3,L12-03-11,LEF-2-2,-113.29999999999998,80.10000000000001,-226.3,80.10000000000002,-226.3,0.10000000000002203,-113.3,0.1000000000000082,-114.00562499999998,79.52000000000001,-225.594375,79.52000000000002,-225.594375,0.6800000000000203,-114.005625,0.6800000000000066
Y,QL-R3,L12-03-10,LEF-2-2,-113.29999999999998,160.25,-226.29999999999998,160.25000000000003,-226.3,80.25000000000003,-113.29999999999998,80.25000000000001,-114.00562499999998,159.67,-225.59437499999999,159.67000000000002,-225.594375,80.83000000000001,-114.00562499999998,80.83
Y,QL-R3,L12-03-9,LEF-2-2,-113.29999999999997,240.4,-226.29999999999998,240.40000000000003,-226.29999999999998,160.40000000000003,-113.29999999999998,160.4,-114.00562499999997,239.82,-225.59437499999999,239.82000000000002,-225.59437499999999,160.98000000000002,-114.00562499999998,160.98
Y,QL-R3,L12-03-8,LEF-2-2,-113.29999999999995,320.55,-226.29999999999998,320.55,-226.29999999999998,240.55000000000004,-113.29999999999997,240.55,-114.00562499999995,319.97,-225.59437499999999,319.97,-225.59437499999999,241.13000000000005,-114.00562499999997,241.13000000000002
Y,QL-R3,L12-03-7,LEF-2-2,-113.29999999999995,400.70000000000005,-226.29999999999995,400.70000000000005,-226.29999999999998,320.70000000000005,-113.29999999999995,320.70000000000005,-114.00562499999995,400.12000000000006,-225.59437499999996,400.12000000000006,-225.59437499999999,321.2800000000001,-114.00562499999995,321.2800000000001
Y,QL-R3,L12-03-6,LEF-2-2,-113.29999999999994,480.85,-226.29999999999995,480.85,-226.29999999999995,400.85,-113.29999999999995,400.85,-114.00562499999994,480.27000000000004,-225.59437499999996,480.27000000000004,-225.59437499999996,401.43000000000006,-114.00562499999995,401.43000000000006
