Layer,TB point,Hits
U,1,{'LEF-3-4', 'LEF-3-5'}
U,2,{'LEF-3-4', 'LEF-3-5'}
U,3,{'LEF-3-3', 'LEF-3-4'}
U,4,{'LEF-3-3', 'LEF-3-2'}
U,5,{'LEF-3-2', 'LEF-3-1'}
U,6,{'LEF-1-1', 'LEF-3-1'}
U,7,{'LEF-1-1', 'LEF-3-1'}
U,8,{'LEF-1-2', 'LEF-1-1'}
U,9,{'LEF-1-2', 'LEF-1-3'}
U,10,{'LEF-1-3', 'LEF-1-4'}
U,11,{'LEF-1-4', 'LEF-1-5'}
U,12,{'LEF-1-4', 'LEF-1-5'}
U,13,{'LEF-1-4', 'LEF-1-5'}
U,14,{'LEF-1-3', 'LEF-1-4'}
U,15,{'LEF-1-2', 'LEF-1-3'}
U,16,{'LEF-1-2', 'LEF-1-1'}
U,17,{'LEF-1-1', 'LEF-3-1'}
U,18,{'LEF-3-2', 'LEF-3-1'}
U,19,{'LEF-3-3', 'LEF-3-2'}
U,20,{'LEF-3-3', 'LEF-3-4'}
U,21,{'LEF-3-4', 'LEF-3-5'}
U,22,{'LEF-3-6', 'LEF-3-7'}
U,23,{'LEF-3-6', 'LEF-3-7'}
U,24,{'LEF-3-6', 'LEF-3-5'}
U,25,{'LEF-3-4', 'LEF-3-5'}
U,26,{'LEF-3-3', 'LEF-3-4'}
U,27,{'LEF-3-3', 'LEF-3-2'}
U,28,{'LEF-3-2', 'LEF-3-1'}
U,29,{'LEF-1-1', 'LEF-3-1'}
U,30,{'LEF-1-2', 'LEF-1-1'}
U,31,{'LEF-1-2', 'LEF-1-3'}
U,32,{'LEF-1-3', 'LEF-1-4'}
U,33,{'LEF-1-4', 'LEF-1-5'}
U,34,{'LEF-1-5', 'LEF-1-6'}
U,35,{'LEF-1-6', 'LEF-1-7'}
U,36,{'LEF-1-6', 'LEF-1-7'}
U,37,{'LEF-1-6', 'LEF-1-7'}
U,38,{'LEF-1-5', 'LEF-1-6'}
U,39,{'LEF-1-4', 'LEF-1-5'}
U,40,{'LEF-1-3', 'LEF-1-4'}
U,41,{'LEF-1-2', 'LEF-1-3'}
U,42,{'LEF-1-2', 'LEF-1-1'}
U,43,{'LEF-1-1', 'LEF-3-1'}
U,44,{'LEF-3-2', 'LEF-3-1'}
U,45,{'LEF-3-3', 'LEF-3-2'}
U,46,{'LEF-3-3', 'LEF-3-4'}
U,47,{'LEF-3-4', 'LEF-3-5'}
U,48,{'LEF-3-6', 'LEF-3-5'}
U,49,{'LEF-3-6', 'LEF-3-7'}
U,50,{'LEF-3-9', 'LEF-3-8'}
U,51,{'LEF-3-7', 'LEF-3-8'}
U,52,{'LEF-3-6', 'LEF-3-7'}
U,53,{'LEF-3-6', 'LEF-3-5'}
U,54,{'LEF-3-4', 'LEF-3-5'}
U,55,{'LEF-3-3', 'LEF-3-4'}
U,56,{'LEF-3-3', 'LEF-3-2'}
U,57,{'LEF-3-2', 'LEF-3-1'}
U,58,{'LEF-1-1', 'LEF-3-1'}
U,59,{'LEF-1-2', 'LEF-1-1'}
U,60,{'LEF-1-2', 'LEF-1-3'}
U,61,{'LEF-1-3', 'LEF-1-4'}
U,62,{'LEF-1-4', 'LEF-1-5'}
U,63,{'LEF-1-5', 'LEF-1-6'}
U,64,{'LEF-1-6', 'LEF-1-7'}
U,65,{'LEF-1-8', 'LEF-1-7'}
U,66,{'LEF-1-8', 'LEF-1-9'}
U,67,{'LEF-1-8', 'LEF-1-9'}
U,68,{'LEF-1-8', 'LEF-1-7'}
U,69,{'LEF-1-6', 'LEF-1-7'}
U,70,{'LEF-1-5', 'LEF-1-6'}
U,71,{'LEF-1-4', 'LEF-1-5'}
U,72,{'LEF-1-3', 'LEF-1-4'}
U,73,{'LEF-1-2', 'LEF-1-3'}
U,74,{'LEF-1-2', 'LEF-1-1'}
U,75,{'LEF-1-1', 'LEF-3-1'}
U,76,{'LEF-3-2', 'LEF-3-1'}
U,77,{'LEF-3-3', 'LEF-3-2'}
U,78,{'LEF-3-3', 'LEF-3-4'}
U,79,{'LEF-3-4', 'LEF-3-5'}
U,80,{'LEF-3-6', 'LEF-3-5'}
U,81,{'LEF-3-6', 'LEF-3-7'}
U,82,{'LEF-3-7', 'LEF-3-8'}
U,83,{'LEF-3-9', 'LEF-3-8'}
U,84,{'LEF-3-9', 'LEF-3-8'}
U,85,{'LEF-3-7', 'LEF-3-8'}
U,86,{'LEF-3-6', 'LEF-3-7'}
U,87,{'LEF-3-6', 'LEF-3-5'}
U,88,{'LEF-3-4', 'LEF-3-5'}
U,89,{'LEF-3-3', 'LEF-3-4'}
U,90,{'LEF-3-3', 'LEF-3-2'}
U,91,{'LEF-3-2', 'LEF-3-1'}
U,92,{'LEF-1-1', 'LEF-3-1'}
U,93,{'LEF-1-1', 'LEF-3-1'}
U,94,{'LEF-1-2', 'LEF-1-1'}
U,95,{'LEF-1-2', 'LEF-1-3'}
U,96,{'LEF-1-3', 'LEF-1-4'}
U,97,{'LEF-1-4', 'LEF-1-5'}
U,98,{'LEF-1-5', 'LEF-1-6'}
U,99,{'LEF-1-6', 'LEF-1-7'}
U,100,{'LEF-1-8', 'LEF-1-7'}
U,101,{'LEF-1-8', 'LEF-1-9'}
U,102,{'LEF-1-8', 'LEF-1-9'}
U,103,{'LEF-1-8', 'LEF-1-9'}
U,104,{'LEF-1-8', 'LEF-1-7'}
U,105,{'LEF-1-6', 'LEF-1-7'}
U,106,{'LEF-1-5', 'LEF-1-6'}
U,107,{'LEF-1-4', 'LEF-1-5'}
U,108,{'LEF-1-4', 'LEF-1-5'}
U,109,{'LEF-1-3', 'LEF-1-4'}
U,110,{'LEF-1-2', 'LEF-1-3'}
U,111,{'LEF-1-2', 'LEF-1-1'}
U,112,{'LEF-1-1', 'LEF-3-1'}
U,113,{'LEF-3-2', 'LEF-3-1'}
U,114,{'LEF-3-3', 'LEF-3-2'}
U,115,{'LEF-3-3', 'LEF-3-4'}
U,116,{'LEF-3-4', 'LEF-3-5'}
U,117,{'LEF-3-4', 'LEF-3-5'}
U,118,{'LEF-3-6', 'LEF-3-5'}
U,119,{'LEF-3-6', 'LEF-3-7'}
U,120,{'LEF-3-7', 'LEF-3-8'}
U,121,{'LEF-3-9', 'LEF-3-8'}
U,122,{'LEF-3-9', 'LEF-3-8'}
U,123,{'LEF-3-9', 'LEF-3-8'}
U,124,{'LEF-3-7', 'LEF-3-8'}
U,125,{'LEF-3-6', 'LEF-3-7'}
U,126,{'LEF-3-6', 'LEF-3-5'}
U,127,{'LEF-3-4', 'LEF-3-5'}
U,128,{'LEF-3-3', 'LEF-3-4'}
U,129,{'LEF-3-3', 'LEF-3-2'}
U,130,{'LEF-3-2', 'LEF-3-1'}
U,131,{'LEF-1-1', 'LEF-3-1'}
U,132,{'LEF-1-2', 'LEF-1-1'}
U,133,{'LEF-1-2', 'LEF-1-3'}
U,134,{'LEF-1-3', 'LEF-1-4'}
U,135,{'LEF-1-4', 'LEF-1-5'}
U,136,{'LEF-1-5', 'LEF-1-6'}
U,137,{'LEF-1-6', 'LEF-1-7'}
U,138,{'LEF-1-8', 'LEF-1-7'}
U,139,{'LEF-1-8', 'LEF-1-9'}
U,140,{'LEF-1-8', 'LEF-1-9'}
U,141,{'LEF-1-8', 'LEF-1-7'}
U,142,{'LEF-1-6', 'LEF-1-7'}
U,143,{'LEF-1-5', 'LEF-1-6'}
U,144,{'LEF-1-4', 'LEF-1-5'}
U,145,{'LEF-1-3', 'LEF-1-4'}
U,146,{'LEF-1-2', 'LEF-1-3'}
U,147,{'LEF-1-2', 'LEF-1-1'}
U,148,{'LEF-1-1', 'LEF-3-1'}
U,149,{'LEF-3-2', 'LEF-3-1'}
U,150,{'LEF-3-3', 'LEF-3-2'}
U,151,{'LEF-3-3', 'LEF-3-4'}
U,152,{'LEF-3-4', 'LEF-3-5'}
U,153,{'LEF-3-6', 'LEF-3-5'}
U,154,{'LEF-3-6', 'LEF-3-7'}
U,155,{'LEF-3-7', 'LEF-3-8'}
U,156,{'LEF-3-9', 'LEF-3-8'}
U,157,{'LEF-3-9', 'LEF-3-8'}
U,158,{'LEF-3-7', 'LEF-3-8'}
U,159,{'LEF-3-6', 'LEF-3-7'}
U,160,{'LEF-3-6', 'LEF-3-5'}
U,161,{'LEF-3-4', 'LEF-3-5'}
U,162,{'LEF-3-3', 'LEF-3-4'}
U,163,{'LEF-3-3', 'LEF-3-2'}
U,164,{'LEF-3-2', 'LEF-3-1'}
U,165,{'LEF-1-1', 'LEF-3-1'}
U,166,{'LEF-1-1', 'LEF-3-1'}
U,167,{'LEF-1-2', 'LEF-1-1'}
U,168,{'LEF-1-2', 'LEF-1-3'}
U,169,{'LEF-1-3', 'LEF-1-4'}
U,170,{'LEF-1-4', 'LEF-1-5'}
U,171,{'LEF-1-5', 'LEF-1-6'}
U,172,{'LEF-1-6', 'LEF-1-7'}
U,173,{'LEF-1-8', 'LEF-1-7'}
U,174,{'LEF-1-8', 'LEF-1-9'}
U,175,{'LEF-1-8', 'LEF-1-9'}
U,176,{'LEF-1-8', 'LEF-7-8', 'LEF-7-9', 'LEF-1-9'}
U,177,{'LEF-1-8', 'LEF-1-7'}
U,178,{'LEF-1-6', 'LEF-1-7'}
U,179,{'LEF-1-5', 'LEF-1-6'}
U,180,{'LEF-7-6', 'LEF-1-5', 'LEF-1-6', 'LEF-7-5'}
U,181,{'LEF-1-4', 'LEF-1-5'}
U,182,{'LEF-1-3', 'LEF-1-4'}
U,183,{'LEF-1-2', 'LEF-1-3'}
U,184,{'LEF-1-2', 'LEF-1-1'}
U,185,{'LEF-1-2', 'LEF-1-1', 'LEF-7-2', 'LEF-7-1'}
U,186,{'LEF-1-1', 'LEF-3-1'}
U,187,{'LEF-3-2', 'LEF-3-1'}
U,188,{'LEF-5-1', 'LEF-5-2', 'LEF-3-2', 'LEF-3-1'}
U,189,{'LEF-3-3', 'LEF-3-2'}
U,190,{'LEF-3-3', 'LEF-3-4'}
U,191,{'LEF-3-4', 'LEF-3-5'}
U,192,{'LEF-3-6', 'LEF-3-5'}
U,193,{'LEF-5-5', 'LEF-3-6', 'LEF-5-6', 'LEF-3-5'}
U,194,{'LEF-3-6', 'LEF-3-7'}
U,195,{'LEF-3-7', 'LEF-3-8'}
U,196,{'LEF-3-9', 'LEF-3-8'}
U,197,{'LEF-3-9', 'LEF-5-9', 'LEF-5-8', 'LEF-3-8'}
U,198,{'LEF-5-8', 'LEF-5-9'}
U,199,{'LEF-5-7', 'LEF-5-8'}
U,200,{'LEF-5-7', 'LEF-5-6'}
U,201,{'LEF-5-6', 'LEF-5-5'}
U,202,{'LEF-5-4', 'LEF-5-5'}
U,203,{'LEF-5-3', 'LEF-5-4'}
U,204,{'LEF-5-3', 'LEF-5-2'}
U,205,{'LEF-5-1', 'LEF-5-2'}
U,206,{'LEF-5-1', 'LEF-7-1'}
U,207,{'LEF-5-1', 'LEF-7-1'}
U,208,{'LEF-7-2', 'LEF-7-1'}
U,209,{'LEF-7-3', 'LEF-7-2'}
U,210,{'LEF-7-3', 'LEF-7-4'}
U,211,{'LEF-7-4', 'LEF-7-5'}
U,212,{'LEF-7-6', 'LEF-7-5'}
U,213,{'LEF-7-7', 'LEF-7-6'}
U,214,{'LEF-7-7', 'LEF-7-8'}
U,215,{'LEF-7-9', 'LEF-7-8'}
U,216,{'LEF-7-9', 'LEF-7-8'}
U,217,{'LEF-7-7', 'LEF-7-8'}
U,218,{'LEF-7-7', 'LEF-7-6'}
U,219,{'LEF-7-6', 'LEF-7-5'}
U,220,{'LEF-7-4', 'LEF-7-5'}
U,221,{'LEF-7-3', 'LEF-7-4'}
U,222,{'LEF-7-3', 'LEF-7-2'}
U,223,{'LEF-7-2', 'LEF-7-1'}
U,224,{'LEF-5-1', 'LEF-7-1'}
U,225,{'LEF-5-1', 'LEF-5-2'}
U,226,{'LEF-5-3', 'LEF-5-2'}
U,227,{'LEF-5-3', 'LEF-5-4'}
U,228,{'LEF-5-4', 'LEF-5-5'}
U,229,{'LEF-5-6', 'LEF-5-5'}
U,230,{'LEF-5-7', 'LEF-5-6'}
U,231,{'LEF-5-7', 'LEF-5-8'}
U,232,{'LEF-5-8', 'LEF-5-9'}
U,233,{'LEF-5-8', 'LEF-5-9'}
U,234,{'LEF-5-7', 'LEF-5-8'}
U,235,{'LEF-5-7', 'LEF-5-6'}
U,236,{'LEF-5-6', 'LEF-5-5'}
U,237,{'LEF-5-4', 'LEF-5-5'}
U,238,{'LEF-5-3', 'LEF-5-4'}
U,239,{'LEF-5-3', 'LEF-5-2'}
U,240,{'LEF-5-1', 'LEF-5-2'}
U,241,{'LEF-5-1', 'LEF-7-1'}
U,242,{'LEF-7-2', 'LEF-7-1'}
U,243,{'LEF-7-3', 'LEF-7-2'}
U,244,{'LEF-7-3', 'LEF-7-4'}
U,245,{'LEF-7-4', 'LEF-7-5'}
U,246,{'LEF-7-6', 'LEF-7-5'}
U,247,{'LEF-7-7', 'LEF-7-6'}
U,248,{'LEF-7-7', 'LEF-7-8'}
U,249,{'LEF-7-9', 'LEF-7-8'}
U,250,{'LEF-7-9', 'LEF-7-8'}
U,251,{'LEF-7-9', 'LEF-7-8'}
U,252,{'LEF-7-7', 'LEF-7-8'}
U,253,{'LEF-7-7', 'LEF-7-6'}
U,254,{'LEF-7-6', 'LEF-7-5'}
U,255,{'LEF-7-4', 'LEF-7-5'}
U,256,{'LEF-7-4', 'LEF-7-5'}
U,257,{'LEF-7-3', 'LEF-7-4'}
U,258,{'LEF-7-3', 'LEF-7-2'}
U,259,{'LEF-7-2', 'LEF-7-1'}
U,260,{'LEF-5-1', 'LEF-7-1'}
U,261,{'LEF-5-1', 'LEF-5-2'}
U,262,{'LEF-5-3', 'LEF-5-2'}
U,263,{'LEF-5-3', 'LEF-5-4'}
U,264,{'LEF-5-4', 'LEF-5-5'}
U,265,{'LEF-5-4', 'LEF-5-5'}
U,266,{'LEF-5-6', 'LEF-5-5'}
U,267,{'LEF-5-7', 'LEF-5-6'}
U,268,{'LEF-5-7', 'LEF-5-8'}
U,269,{'LEF-5-8', 'LEF-5-9'}
U,270,{'LEF-5-8', 'LEF-5-9'}
U,271,{'LEF-5-8', 'LEF-5-9'}
U,272,{'LEF-5-7', 'LEF-5-8'}
U,273,{'LEF-5-7', 'LEF-5-6'}
U,274,{'LEF-5-6', 'LEF-5-5'}
U,275,{'LEF-5-4', 'LEF-5-5'}
U,276,{'LEF-5-3', 'LEF-5-4'}
U,277,{'LEF-5-3', 'LEF-5-2'}
U,278,{'LEF-5-1', 'LEF-5-2'}
U,279,{'LEF-5-1', 'LEF-7-1'}
U,280,{'LEF-5-1', 'LEF-7-1'}
U,281,{'LEF-7-2', 'LEF-7-1'}
U,282,{'LEF-7-3', 'LEF-7-2'}
U,283,{'LEF-7-3', 'LEF-7-4'}
U,284,{'LEF-7-4', 'LEF-7-5'}
U,285,{'LEF-7-6', 'LEF-7-5'}
U,286,{'LEF-7-7', 'LEF-7-6'}
U,287,{'LEF-7-7', 'LEF-7-8'}
U,288,{'LEF-7-9', 'LEF-7-8'}
U,289,{'LEF-7-9', 'LEF-7-8'}
U,290,{'LEF-7-7', 'LEF-7-8'}
U,291,{'LEF-7-7', 'LEF-7-6'}
U,292,{'LEF-7-6', 'LEF-7-5'}
U,293,{'LEF-7-4', 'LEF-7-5'}
U,294,{'LEF-7-3', 'LEF-7-4'}
U,295,{'LEF-7-3', 'LEF-7-2'}
U,296,{'LEF-7-2', 'LEF-7-1'}
U,297,{'LEF-5-1', 'LEF-7-1'}
U,298,{'LEF-5-1', 'LEF-5-2'}
U,299,{'LEF-5-3', 'LEF-5-2'}
U,300,{'LEF-5-3', 'LEF-5-4'}
U,301,{'LEF-5-4', 'LEF-5-5'}
U,302,{'LEF-5-6', 'LEF-5-5'}
U,303,{'LEF-5-7', 'LEF-5-6'}
U,304,{'LEF-5-7', 'LEF-5-8'}
U,305,{'LEF-5-8', 'LEF-5-9'}
U,306,{'LEF-5-8', 'LEF-5-9'}
U,307,{'LEF-5-7', 'LEF-5-8'}
U,308,{'LEF-5-7', 'LEF-5-6'}
U,309,{'LEF-5-6', 'LEF-5-5'}
U,310,{'LEF-5-4', 'LEF-5-5'}
U,311,{'LEF-5-3', 'LEF-5-4'}
U,312,{'LEF-5-3', 'LEF-5-2'}
U,313,{'LEF-5-1', 'LEF-5-2'}
U,314,{'LEF-5-1', 'LEF-7-1'}
U,315,{'LEF-7-2', 'LEF-7-1'}
U,316,{'LEF-7-3', 'LEF-7-2'}
U,317,{'LEF-7-3', 'LEF-7-4'}
U,318,{'LEF-7-4', 'LEF-7-5'}
U,319,{'LEF-7-6', 'LEF-7-5'}
U,320,{'LEF-7-7', 'LEF-7-6'}
U,321,{'LEF-7-7', 'LEF-7-8'}
U,322,{'LEF-7-9', 'LEF-7-8'}
U,323,{'LEF-7-9', 'LEF-7-8'}
U,324,{'LEF-7-7', 'LEF-7-8'}
U,325,{'LEF-7-7', 'LEF-7-6'}
U,326,{'LEF-7-6', 'LEF-7-5'}
U,327,{'LEF-7-4', 'LEF-7-5'}
U,328,{'LEF-7-3', 'LEF-7-4'}
U,329,{'LEF-7-3', 'LEF-7-2'}
U,330,{'LEF-7-2', 'LEF-7-1'}
U,331,{'LEF-5-1', 'LEF-7-1'}
U,332,{'LEF-5-1', 'LEF-5-2'}
U,333,{'LEF-5-3', 'LEF-5-2'}
U,334,{'LEF-5-3', 'LEF-5-4'}
U,335,{'LEF-5-4', 'LEF-5-5'}
U,336,{'LEF-5-6', 'LEF-5-5'}
U,337,{'LEF-5-7', 'LEF-5-6'}
U,338,{'LEF-5-7', 'LEF-5-8'}
U,339,{'LEF-5-8', 'LEF-5-9'}
U,340,{'LEF-5-7', 'LEF-5-6'}
U,341,{'LEF-5-7', 'LEF-5-6'}
U,342,{'LEF-5-6', 'LEF-5-5'}
U,343,{'LEF-5-4', 'LEF-5-5'}
U,344,{'LEF-5-3', 'LEF-5-4'}
U,345,{'LEF-5-3', 'LEF-5-2'}
U,346,{'LEF-5-1', 'LEF-5-2'}
U,347,{'LEF-5-1', 'LEF-7-1'}
U,348,{'LEF-7-2', 'LEF-7-1'}
U,349,{'LEF-7-3', 'LEF-7-2'}
U,350,{'LEF-7-3', 'LEF-7-4'}
U,351,{'LEF-7-4', 'LEF-7-5'}
U,352,{'LEF-7-6', 'LEF-7-5'}
U,353,{'LEF-7-7', 'LEF-7-6'}
U,354,{'LEF-7-7', 'LEF-7-6'}
U,355,{'LEF-7-7', 'LEF-7-6'}
U,356,{'LEF-7-6', 'LEF-7-5'}
U,357,{'LEF-7-4', 'LEF-7-5'}
U,358,{'LEF-7-3', 'LEF-7-4'}
U,359,{'LEF-7-3', 'LEF-7-2'}
U,360,{'LEF-7-2', 'LEF-7-1'}
U,361,{'LEF-5-1', 'LEF-7-1'}
U,362,{'LEF-5-1', 'LEF-5-2'}
U,363,{'LEF-5-3', 'LEF-5-2'}
