Layer,Phase 1 point,Hits,NEVTs
Y,1,LEF-2-4, LEF-2-5
Y,2,LEF-2-3, LEF-2-4
Y,3,LEF-2-2, LEF-2-3
Y,4,LEF-2-1, LEF-2-2
Y,5,LEF-2-1, LEF-4-1
Y,6,LEF-4-1, LEF-4-2
Y,7,LEF-4-2, LEF-4-3
Y,8,LEF-4-3, LEF-4-4
Y,9,LEF-4-4, LEF-4-5
Y,10,LEF-4-4, LEF-4-5
Y,11,LEF-4-3, LEF-4-4
Y,12,LEF-4-2, LEF-4-3
Y,13,LEF-4-1, LEF-4-2
Y,14,LEF-2-1, LEF-4-1
Y,15,LEF-2-1, LEF-2-2
Y,16,LEF-2-2, LEF-2-3
Y,17,LEF-2-3, LEF-2-4
Y,18,LEF-2-4, LEF-2-5
Y,19,LEF-2-6, LEF-2-7
Y,20,LEF-2-5, LEF-2-6
Y,21,LEF-2-4, LEF-2-5
Y,22,LEF-2-3, LEF-2-4
Y,23,LEF-2-2, LEF-2-3
Y,24,LEF-2-1, LEF-2-2
Y,25,LEF-2-1, LEF-4-1
Y,26,LEF-4-1, LEF-4-2
Y,27,LEF-4-2, LEF-4-3
Y,28,LEF-4-3, LEF-4-4
Y,29,LEF-4-4, LEF-4-5
Y,30,LEF-4-5, LEF-4-6
Y,31,LEF-4-6, LEF-4-7
Y,32,LEF-4-6, LEF-4-7
Y,33,LEF-4-5, LEF-4-6
Y,34,LEF-4-4, LEF-4-5
Y,35,LEF-4-3, LEF-4-4
Y,36,LEF-4-2, LEF-4-3
Y,37,LEF-4-1, LEF-4-2
Y,38,LEF-2-1, LEF-4-1
Y,39,LEF-2-1, LEF-2-2
Y,40,LEF-2-2, LEF-2-3
Y,41,LEF-2-3, LEF-2-4
Y,42,LEF-2-4, LEF-2-5
Y,43,LEF-2-5, LEF-2-6
Y,44,LEF-2-6, LEF-2-7
Y,45,LEF-2-8, LEF-2-9
Y,46,LEF-2-7, LEF-2-8
Y,47,LEF-2-6, LEF-2-7
Y,48,LEF-2-5, LEF-2-6
Y,49,LEF-2-4, LEF-2-5
Y,50,LEF-2-3, LEF-2-4
Y,51,LEF-2-2, LEF-2-3
Y,52,LEF-2-1, LEF-2-2
Y,53,LEF-2-1, LEF-4-1
Y,54,LEF-4-1, LEF-4-2
Y,55,LEF-4-2, LEF-4-3
Y,56,LEF-4-3, LEF-4-4
Y,57,LEF-4-4, LEF-4-5
Y,58,LEF-4-5, LEF-4-6
Y,59,LEF-4-6, LEF-4-7
Y,60,LEF-4-7, LEF-4-8
Y,61,LEF-4-8, LEF-4-9
Y,62,LEF-4-8, LEF-4-9
Y,63,LEF-4-7, LEF-4-8
Y,64,LEF-4-6, LEF-4-7
Y,65,LEF-4-5, LEF-4-6
Y,66,LEF-4-4, LEF-4-5
Y,67,LEF-4-3, LEF-4-4
Y,68,LEF-4-2, LEF-4-3
Y,69,LEF-4-1, LEF-4-2
Y,70,LEF-2-1, LEF-4-1
Y,71,LEF-2-1, LEF-2-2
Y,72,LEF-2-2, LEF-2-3
Y,73,LEF-2-3, LEF-2-4
Y,74,LEF-2-4, LEF-2-5
Y,75,LEF-2-5, LEF-2-6
Y,76,LEF-2-6, LEF-2-7
Y,77,LEF-2-7, LEF-2-8
Y,78,LEF-2-8, LEF-2-9
Y,79,LEF-2-8, LEF-2-9
Y,80,LEF-2-7, LEF-2-8
Y,81,LEF-2-6, LEF-2-7
Y,82,LEF-2-5, LEF-2-6
Y,83,LEF-2-4, LEF-2-5
Y,84,LEF-2-3, LEF-2-4
Y,85,LEF-2-2, LEF-2-3
Y,86,LEF-2-1, LEF-2-2
Y,87,LEF-2-1, LEF-4-1
Y,88,LEF-4-1, LEF-4-2
Y,89,LEF-4-2, LEF-4-3
Y,90,LEF-4-3, LEF-4-4
Y,91,LEF-4-4, LEF-4-5
Y,92,LEF-4-5, LEF-4-6
Y,93,LEF-4-6, LEF-4-7
Y,94,LEF-4-7, LEF-4-8
Y,95,LEF-4-8, LEF-4-9
Y,96,LEF-4-8, LEF-4-9
Y,97,LEF-4-7, LEF-4-8
Y,98,LEF-4-6, LEF-4-7
Y,99,LEF-4-5, LEF-4-6
Y,100,LEF-4-4, LEF-4-5
Y,101,LEF-4-3, LEF-4-4
Y,102,LEF-4-2, LEF-4-3
Y,103,LEF-4-1, LEF-4-2
Y,104,LEF-2-1, LEF-4-1
Y,105,LEF-2-1, LEF-2-2
Y,106,LEF-2-2, LEF-2-3
Y,107,LEF-2-3, LEF-2-4
Y,108,LEF-2-4, LEF-2-5
Y,109,LEF-2-5, LEF-2-6
Y,110,LEF-2-6, LEF-2-7
Y,111,LEF-2-7, LEF-2-8
Y,112,LEF-2-8, LEF-2-9
Y,113,LEF-2-8, LEF-2-9
Y,114,LEF-2-7, LEF-2-8
Y,115,LEF-2-6, LEF-2-7
Y,116,LEF-2-5, LEF-2-6
Y,117,LEF-2-4, LEF-2-5
Y,118,LEF-2-3, LEF-2-4
Y,119,LEF-2-2, LEF-2-3
Y,120,LEF-2-1, LEF-2-2
Y,121,LEF-2-1, LEF-4-1
Y,122,LEF-4-1, LEF-4-2
Y,123,LEF-4-2, LEF-4-3
Y,124,LEF-4-3, LEF-4-4
Y,125,LEF-4-4, LEF-4-5
Y,126,LEF-4-5, LEF-4-6
