Layer,TB point,Hits
Y,1,{'LEF-2-5', 'LEF-2-4'}
Y,2,{'LEF-2-5', 'LEF-2-4'}
Y,3,{'LEF-2-3', 'LEF-2-4'}
Y,4,{'LEF-2-3', 'LEF-2-2'}
Y,5,{'LEF-2-1', 'LEF-2-2'}
Y,6,{'LEF-2-1', 'LEF-4-1'}
Y,7,{'LEF-2-1', 'LEF-4-1'}
Y,8,{'LEF-4-2', 'LEF-4-1'}
Y,9,{'LEF-4-2', 'LEF-4-3'}
Y,10,{'LEF-4-3', 'LEF-4-4'}
Y,11,{'LEF-4-4', 'LEF-4-5'}
Y,12,{'LEF-4-4', 'LEF-4-5'}
Y,13,{'LEF-4-4', 'LEF-4-5'}
Y,14,{'LEF-4-3', 'LEF-4-4'}
Y,15,{'LEF-4-2', 'LEF-4-3'}
Y,16,{'LEF-4-2', 'LEF-4-1'}
Y,17,{'LEF-2-1', 'LEF-4-1'}
Y,18,{'LEF-2-1', 'LEF-2-2'}
Y,19,{'LEF-2-3', 'LEF-2-2'}
Y,20,{'LEF-2-3', 'LEF-2-4'}
Y,21,{'LEF-2-5', 'LEF-2-4'}
Y,22,{'LEF-2-7', 'LEF-2-6'}
Y,23,{'LEF-2-7', 'LEF-2-6'}
Y,24,{'LEF-2-5', 'LEF-2-6'}
Y,25,{'LEF-2-5', 'LEF-2-4'}
Y,26,{'LEF-2-3', 'LEF-2-4'}
Y,27,{'LEF-2-3', 'LEF-2-2'}
Y,28,{'LEF-2-1', 'LEF-2-2'}
Y,29,{'LEF-2-1', 'LEF-4-1'}
Y,30,{'LEF-4-2', 'LEF-4-1'}
Y,31,{'LEF-4-2', 'LEF-4-3'}
Y,32,{'LEF-4-3', 'LEF-4-4'}
Y,33,{'LEF-4-4', 'LEF-4-5'}
Y,34,{'LEF-4-5', 'LEF-4-6'}
Y,35,{'LEF-4-7', 'LEF-4-6'}
Y,36,{'LEF-4-7', 'LEF-4-6'}
Y,37,{'LEF-4-7', 'LEF-4-6'}
Y,38,{'LEF-4-5', 'LEF-4-6'}
Y,39,{'LEF-4-4', 'LEF-4-5'}
Y,40,{'LEF-4-3', 'LEF-4-4'}
Y,41,{'LEF-4-2', 'LEF-4-3'}
Y,42,{'LEF-4-2', 'LEF-4-1'}
Y,43,{'LEF-2-1', 'LEF-4-1'}
Y,44,{'LEF-2-1', 'LEF-2-2'}
Y,45,{'LEF-2-3', 'LEF-2-2'}
Y,46,{'LEF-2-3', 'LEF-2-4'}
Y,47,{'LEF-2-5', 'LEF-2-4'}
Y,48,{'LEF-2-5', 'LEF-2-6'}
Y,49,{'LEF-2-7', 'LEF-2-6'}
Y,50,{'LEF-2-9', 'LEF-2-8'}
Y,51,{'LEF-2-7', 'LEF-2-8'}
Y,52,{'LEF-2-7', 'LEF-2-6'}
Y,53,{'LEF-2-5', 'LEF-2-6'}
Y,54,{'LEF-2-5', 'LEF-2-4'}
Y,55,{'LEF-2-3', 'LEF-2-4'}
Y,56,{'LEF-2-3', 'LEF-2-2'}
Y,57,{'LEF-2-1', 'LEF-2-2'}
Y,58,{'LEF-2-1', 'LEF-4-1'}
Y,59,{'LEF-4-2', 'LEF-4-1'}
Y,60,{'LEF-4-2', 'LEF-4-3'}
Y,61,{'LEF-4-3', 'LEF-4-4'}
Y,62,{'LEF-4-4', 'LEF-4-5'}
Y,63,{'LEF-4-5', 'LEF-4-6'}
Y,64,{'LEF-4-7', 'LEF-4-6'}
Y,65,{'LEF-4-7', 'LEF-4-8'}
Y,66,{'LEF-4-8', 'LEF-4-9'}
Y,67,{'LEF-4-8', 'LEF-4-9'}
Y,68,{'LEF-4-7', 'LEF-4-8'}
Y,69,{'LEF-4-7', 'LEF-4-6'}
Y,70,{'LEF-4-5', 'LEF-4-6'}
Y,71,{'LEF-4-4', 'LEF-4-5'}
Y,72,{'LEF-4-3', 'LEF-4-4'}
Y,73,{'LEF-4-2', 'LEF-4-3'}
Y,74,{'LEF-4-2', 'LEF-4-1'}
Y,75,{'LEF-2-1', 'LEF-4-1'}
Y,76,{'LEF-2-1', 'LEF-2-2'}
Y,77,{'LEF-2-3', 'LEF-2-2'}
Y,78,{'LEF-2-3', 'LEF-2-4'}
Y,79,{'LEF-2-5', 'LEF-2-4'}
Y,80,{'LEF-2-5', 'LEF-2-6'}
Y,81,{'LEF-2-7', 'LEF-2-6'}
Y,82,{'LEF-2-7', 'LEF-2-8'}
Y,83,{'LEF-2-9', 'LEF-2-8'}
Y,84,{'LEF-2-9', 'LEF-2-8'}
Y,85,{'LEF-2-7', 'LEF-2-8'}
Y,86,{'LEF-2-7', 'LEF-2-6'}
Y,87,{'LEF-2-5', 'LEF-2-6'}
Y,88,{'LEF-2-5', 'LEF-2-4'}
Y,89,{'LEF-2-3', 'LEF-2-4'}
Y,90,{'LEF-2-3', 'LEF-2-2'}
Y,91,{'LEF-2-1', 'LEF-2-2'}
Y,92,{'LEF-2-1', 'LEF-4-1'}
Y,93,{'LEF-2-1', 'LEF-4-1'}
Y,94,{'LEF-4-2', 'LEF-4-1'}
Y,95,{'LEF-4-2', 'LEF-4-3'}
Y,96,{'LEF-4-3', 'LEF-4-4'}
Y,97,{'LEF-4-4', 'LEF-4-5'}
Y,98,{'LEF-4-5', 'LEF-4-6'}
Y,99,{'LEF-4-7', 'LEF-4-6'}
Y,100,{'LEF-4-7', 'LEF-4-8'}
Y,101,{'LEF-4-8', 'LEF-4-9'}
Y,102,{'LEF-4-8', 'LEF-4-9'}
Y,103,{'LEF-4-8', 'LEF-4-9'}
Y,104,{'LEF-4-7', 'LEF-4-8'}
Y,105,{'LEF-4-7', 'LEF-4-6'}
Y,106,{'LEF-4-5', 'LEF-4-6'}
Y,107,{'LEF-4-4', 'LEF-4-5'}
Y,108,{'LEF-4-4', 'LEF-4-5'}
Y,109,{'LEF-4-3', 'LEF-4-4'}
Y,110,{'LEF-4-2', 'LEF-4-3'}
Y,111,{'LEF-4-2', 'LEF-4-1'}
Y,112,{'LEF-2-1', 'LEF-4-1'}
Y,113,{'LEF-2-1', 'LEF-2-2'}
Y,114,{'LEF-2-3', 'LEF-2-2'}
Y,115,{'LEF-2-3', 'LEF-2-4'}
Y,116,{'LEF-2-5', 'LEF-2-4'}
Y,117,{'LEF-2-5', 'LEF-2-4'}
Y,118,{'LEF-2-5', 'LEF-2-6'}
Y,119,{'LEF-2-7', 'LEF-2-6'}
Y,120,{'LEF-2-7', 'LEF-2-8'}
Y,121,{'LEF-2-9', 'LEF-2-8'}
Y,122,{'LEF-2-9', 'LEF-2-8'}
Y,123,{'LEF-2-9', 'LEF-2-8'}
Y,124,{'LEF-2-7', 'LEF-2-8'}
Y,125,{'LEF-2-7', 'LEF-2-6'}
Y,126,{'LEF-2-5', 'LEF-2-6'}
Y,127,{'LEF-2-5', 'LEF-2-4'}
Y,128,{'LEF-2-3', 'LEF-2-4'}
Y,129,{'LEF-2-3', 'LEF-2-2'}
Y,130,{'LEF-2-1', 'LEF-2-2'}
Y,131,{'LEF-2-1', 'LEF-4-1'}
Y,132,{'LEF-4-2', 'LEF-4-1'}
Y,133,{'LEF-4-2', 'LEF-4-3'}
Y,134,{'LEF-4-3', 'LEF-4-4'}
Y,135,{'LEF-4-4', 'LEF-4-5'}
Y,136,{'LEF-4-5', 'LEF-4-6'}
Y,137,{'LEF-4-7', 'LEF-4-6'}
Y,138,{'LEF-4-7', 'LEF-4-8'}
Y,139,{'LEF-4-8', 'LEF-4-9'}
Y,140,{'LEF-4-8', 'LEF-4-9'}
Y,141,{'LEF-4-7', 'LEF-4-8'}
Y,142,{'LEF-4-7', 'LEF-4-6'}
Y,143,{'LEF-4-5', 'LEF-4-6'}
Y,144,{'LEF-4-4', 'LEF-4-5'}
Y,145,{'LEF-4-3', 'LEF-4-4'}
Y,146,{'LEF-4-2', 'LEF-4-3'}
Y,147,{'LEF-4-2', 'LEF-4-1'}
Y,148,{'LEF-2-1', 'LEF-4-1'}
Y,149,{'LEF-2-1', 'LEF-2-2'}
Y,150,{'LEF-2-3', 'LEF-2-2'}
Y,151,{'LEF-2-3', 'LEF-2-4'}
Y,152,{'LEF-2-5', 'LEF-2-4'}
Y,153,{'LEF-2-5', 'LEF-2-6'}
Y,154,{'LEF-2-7', 'LEF-2-6'}
Y,155,{'LEF-2-7', 'LEF-2-8'}
Y,156,{'LEF-2-9', 'LEF-2-8'}
Y,157,{'LEF-2-9', 'LEF-2-8'}
Y,158,{'LEF-2-7', 'LEF-2-8'}
Y,159,{'LEF-2-7', 'LEF-2-6'}
Y,160,{'LEF-2-5', 'LEF-2-6'}
Y,161,{'LEF-2-5', 'LEF-2-4'}
Y,162,{'LEF-2-3', 'LEF-2-4'}
Y,163,{'LEF-2-3', 'LEF-2-2'}
Y,164,{'LEF-2-1', 'LEF-2-2'}
Y,165,{'LEF-2-1', 'LEF-4-1'}
Y,166,{'LEF-2-1', 'LEF-4-1'}
Y,167,{'LEF-4-2', 'LEF-4-1'}
Y,168,{'LEF-4-2', 'LEF-4-3'}
Y,169,{'LEF-4-3', 'LEF-4-4'}
Y,170,{'LEF-4-4', 'LEF-4-5'}
Y,171,{'LEF-4-5', 'LEF-4-6'}
Y,172,{'LEF-4-7', 'LEF-4-6'}
Y,173,{'LEF-4-7', 'LEF-4-8'}
Y,174,{'LEF-4-8', 'LEF-4-9'}
Y,175,{'LEF-4-8', 'LEF-4-9'}
Y,176,{'LEF-6-9', 'LEF-4-8', 'LEF-6-8', 'LEF-4-9'}
Y,177,{'LEF-4-7', 'LEF-4-8'}
Y,178,{'LEF-4-7', 'LEF-4-6'}
Y,179,{'LEF-4-5', 'LEF-4-6'}
Y,180,{'LEF-6-5', 'LEF-6-6', 'LEF-4-5', 'LEF-4-6'}
Y,181,{'LEF-4-4', 'LEF-4-5'}
Y,182,{'LEF-4-3', 'LEF-4-4'}
Y,183,{'LEF-4-2', 'LEF-4-3'}
Y,184,{'LEF-4-2', 'LEF-4-1'}
Y,185,{'LEF-4-2', 'LEF-4-1', 'LEF-6-2', 'LEF-6-1'}
Y,186,{'LEF-2-1', 'LEF-4-1'}
Y,187,{'LEF-2-1', 'LEF-2-2'}
Y,188,{'LEF-2-1', 'LEF-8-1', 'LEF-8-2', 'LEF-2-2'}
Y,189,{'LEF-2-3', 'LEF-2-2'}
Y,190,{'LEF-2-3', 'LEF-2-4'}
Y,191,{'LEF-2-5', 'LEF-2-4'}
Y,192,{'LEF-2-5', 'LEF-2-6'}
Y,193,{'LEF-2-5', 'LEF-8-5', 'LEF-2-6', 'LEF-8-6'}
Y,194,{'LEF-2-7', 'LEF-2-6'}
Y,195,{'LEF-2-7', 'LEF-2-8'}
Y,196,{'LEF-2-9', 'LEF-2-8'}
Y,197,{'LEF-8-9', 'LEF-2-9', 'LEF-8-8', 'LEF-2-8'}
Y,198,{'LEF-8-8', 'LEF-8-9'}
Y,199,{'LEF-8-7', 'LEF-8-8'}
Y,200,{'LEF-8-7', 'LEF-8-6'}
Y,201,{'LEF-8-5', 'LEF-8-6'}
Y,202,{'LEF-8-5', 'LEF-8-4'}
Y,203,{'LEF-8-3', 'LEF-8-4'}
Y,204,{'LEF-8-3', 'LEF-8-2'}
Y,205,{'LEF-8-1', 'LEF-8-2'}
Y,206,{'LEF-8-1', 'LEF-6-1'}
Y,207,{'LEF-8-1', 'LEF-6-1'}
Y,208,{'LEF-6-2', 'LEF-6-1'}
Y,209,{'LEF-6-3', 'LEF-6-2'}
Y,210,{'LEF-6-3', 'LEF-6-4'}
Y,211,{'LEF-6-5', 'LEF-6-4'}
Y,212,{'LEF-6-5', 'LEF-6-6'}
Y,213,{'LEF-6-6', 'LEF-6-7'}
Y,214,{'LEF-6-7', 'LEF-6-8'}
Y,215,{'LEF-6-9', 'LEF-6-8'}
Y,216,{'LEF-6-9', 'LEF-6-8'}
Y,217,{'LEF-6-7', 'LEF-6-8'}
Y,218,{'LEF-6-6', 'LEF-6-7'}
Y,219,{'LEF-6-5', 'LEF-6-6'}
Y,220,{'LEF-6-5', 'LEF-6-4'}
Y,221,{'LEF-6-3', 'LEF-6-4'}
Y,222,{'LEF-6-3', 'LEF-6-2'}
Y,223,{'LEF-6-2', 'LEF-6-1'}
Y,224,{'LEF-8-1', 'LEF-6-1'}
Y,225,{'LEF-8-1', 'LEF-8-2'}
Y,226,{'LEF-8-3', 'LEF-8-2'}
Y,227,{'LEF-8-3', 'LEF-8-4'}
Y,228,{'LEF-8-5', 'LEF-8-4'}
Y,229,{'LEF-8-5', 'LEF-8-6'}
Y,230,{'LEF-8-7', 'LEF-8-6'}
Y,231,{'LEF-8-7', 'LEF-8-8'}
Y,232,{'LEF-8-8', 'LEF-8-9'}
Y,233,{'LEF-8-8', 'LEF-8-9'}
Y,234,{'LEF-8-7', 'LEF-8-8'}
Y,235,{'LEF-8-7', 'LEF-8-6'}
Y,236,{'LEF-8-5', 'LEF-8-6'}
Y,237,{'LEF-8-5', 'LEF-8-4'}
Y,238,{'LEF-8-3', 'LEF-8-4'}
Y,239,{'LEF-8-3', 'LEF-8-2'}
Y,240,{'LEF-8-1', 'LEF-8-2'}
Y,241,{'LEF-8-1', 'LEF-6-1'}
Y,242,{'LEF-6-2', 'LEF-6-1'}
Y,243,{'LEF-6-3', 'LEF-6-2'}
Y,244,{'LEF-6-3', 'LEF-6-4'}
Y,245,{'LEF-6-5', 'LEF-6-4'}
Y,246,{'LEF-6-5', 'LEF-6-6'}
Y,247,{'LEF-6-6', 'LEF-6-7'}
Y,248,{'LEF-6-7', 'LEF-6-8'}
Y,249,{'LEF-6-9', 'LEF-6-8'}
Y,250,{'LEF-6-9', 'LEF-6-8'}
Y,251,{'LEF-6-9', 'LEF-6-8'}
Y,252,{'LEF-6-7', 'LEF-6-8'}
Y,253,{'LEF-6-6', 'LEF-6-7'}
Y,254,{'LEF-6-5', 'LEF-6-6'}
Y,255,{'LEF-6-5', 'LEF-6-4'}
Y,256,{'LEF-6-5', 'LEF-6-4'}
