Layer,qname,Si detector,LEF,Die BL x,Die BL y,Die BR x,Die BR y,Die TR x,Die TR y,Die TL x,Die TL y,Active BL x,Active BL y,Active BR x,Active BR y,Active TR x,Active TR y,Active TL x,Active TL y
Y,QL-R3,L12-16-11,LEF-2-1,0.1,-85.1,113.1,-85.1,113.1,-5.099999999999994,0.1,-5.099999999999994,0.8056249999999999,-84.52,112.39437500000001,-84.52,112.39437500000001,-5.679999999999993,0.8056249999999999,-5.679999999999993
Y,QL-R3,L12-16-10,LEF-2-1,0.1,-165.25,113.1,-165.25,113.1,-85.25,0.1,-85.25,0.8056249999999999,-164.67,112.39437500000001,-164.67,112.39437500000001,-85.82999999999998,0.8056249999999999,-85.82999999999998
Y,QL-R3,L12-16-9,LEF-2-1,0.1,-245.4,113.1,-245.4,113.1,-165.4,0.1,-165.4,0.8056249999999999,-244.82,112.39437500000001,-244.82,112.39437500000001,-165.98,0.8056249999999999,-165.98
Y,QL-R3,L12-16-8,LEF-2-1,0.1,-325.55,113.1,-325.55,113.1,-245.55,0.1,-245.55,0.8056249999999999,-324.97,112.39437500000001,-324.97,112.39437500000001,-246.13000000000002,0.8056249999999999,-246.13000000000002
Y,QL-R3,L12-16-7,LEF-2-1,0.1,-405.70000000000005,113.1,-405.70000000000005,113.1,-325.70000000000005,0.1,-325.70000000000005,0.8056249999999999,-405.12000000000006,112.39437500000001,-405.12000000000006,112.39437500000001,-326.2800000000001,0.8056249999999999,-326.2800000000001
Y,QL-R3,L12-16-6,LEF-2-1,0.1,-485.85,113.1,-485.85,113.1,-405.85,0.1,-405.85,0.8056249999999999,-485.27000000000004,112.39437500000001,-485.27000000000004,112.39437500000001,-406.43000000000006,0.8056249999999999,-406.43000000000006
Y,QL-R3,L12-16-5,LEF-2-1,0.1,-566.0,113.1,-566.0,113.1,-486.0,0.1,-486.0,0.8056249999999999,-565.42,112.39437500000001,-565.42,112.39437500000001,-486.5799999999999,0.8056249999999999,-486.5799999999999
Y,QL-R3,L12-16-4,LEF-2-1,0.1,-646.1500000000001,113.1,-646.1500000000001,113.1,-566.1500000000001,0.1,-566.1500000000001,0.8056249999999999,-645.57,112.39437500000001,-645.57,112.39437500000001,-566.73,0.8056249999999999,-566.73
Y,QL-R3,L12-16-3,LEF-2-1,0.1,-726.3000000000001,113.1,-726.3000000000001,113.1,-646.3000000000001,0.1,-646.3000000000001,0.8056249999999999,-725.72,112.39437500000001,-725.72,112.39437500000001,-646.88,0.8056249999999999,-646.88
Y,QL-R3,L12-16-2,LEF-2-1,0.1,-806.45,113.1,-806.45,113.1,-726.45,0.1,-726.45,0.8056249999999999,-805.87,112.39437500000001,-805.87,112.39437500000001,-727.03,0.8056249999999999,-727.03
Y,QL-R3,L12-16-1,LEF-2-1,0.1,-886.6,113.1,-886.6,113.1,-806.6,0.1,-806.6,0.8056249999999999,-886.02,112.39437500000001,-886.02,112.39437500000001,-807.18,0.8056249999999999,-807.18
Y,QL-R3,L12-16-0,LEF-2-1,0.1,-966.7500000000001,113.1,-966.7500000000001,113.1,-886.7500000000001,0.1,-886.7500000000001,0.8056249999999999,-966.1700000000001,112.39437500000001,-966.1700000000001,112.39437500000001,-887.33,0.8056249999999999,-887.33
